Year,Ranking,Series,"NIPA Table 2.9, Line Number",Quantile or Summary Metric,Value
2002,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,30-40%,0.0713
2002,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,30-40%,0.0485
2002,Equivalized Personal Income,Household income,22,30-40%,0.0534
2002,Equivalized Personal Income,Personal income,1,30-40%,0.0533
2002,Equivalized Personal Income,Taxes,12,30-40%,0.0165
2002,Equivalized Personal Income,Disposable personal income,13,30-40%,0.058
2002,Equivalized Personal Income,Compensation of employees,23,40-50%,0.0668
2002,Equivalized Personal Income,Proprietors' income with inventory valuation,24,40-50%,0.0149
2002,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,40-50%,0.0718
2002,Equivalized Personal Income,Household income receipts on assets,26,40-50%,0.0381
2002,Equivalized Personal Income,Household interest income,27,40-50%,0.0438
2002,Equivalized Personal Income,Household dividend income,28,40-50%,0.024
2002,Equivalized Personal Income,Household current transfer receipts,29,40-50%,0.1184
2002,Equivalized Personal Income,Government social benefits,30,40-50%,0.1215
2002,Equivalized Personal Income,Household current transfer receipts from business (net),31,40-50%,0.0648
2002,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,40-50%,0.0717
2002,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,40-50%,0.0678
2002,Equivalized Personal Income,Household income,22,40-50%,0.065
2002,Equivalized Personal Income,Personal income,1,40-50%,0.065
2002,Equivalized Personal Income,Taxes,12,40-50%,0.0284
2002,Equivalized Personal Income,Disposable personal income,13,40-50%,0.0697
2002,Equivalized Personal Income,Compensation of employees,23,50-60%,0.0878
2002,Equivalized Personal Income,Proprietors' income with inventory valuation,24,50-60%,0.0283
2002,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,50-60%,0.0824
2002,Equivalized Personal Income,Household income receipts on assets,26,50-60%,0.0532
2002,Equivalized Personal Income,Household interest income,27,50-60%,0.0583
2002,Equivalized Personal Income,Household dividend income,28,50-60%,0.0403
2002,Equivalized Personal Income,Household current transfer receipts,29,50-60%,0.1021
2002,Equivalized Personal Income,Government social benefits,30,50-60%,0.1042
2002,Equivalized Personal Income,Household current transfer receipts from business (net),31,50-60%,0.0785
2002,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,50-60%,0.0631
2002,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,50-60%,0.0902
2002,Equivalized Personal Income,Household income,22,50-60%,0.0786
2002,Equivalized Personal Income,Personal income,1,50-60%,0.0787
2002,Equivalized Personal Income,Taxes,12,50-60%,0.0452
2002,Equivalized Personal Income,Disposable personal income,13,50-60%,0.0831
2002,Equivalized Personal Income,Compensation of employees,23,60-70%,0.1123
2002,Equivalized Personal Income,Proprietors' income with inventory valuation,24,60-70%,0.0358
2002,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,60-70%,0.0963
2002,Equivalized Personal Income,Household income receipts on assets,26,60-70%,0.0663
2002,Equivalized Personal Income,Household interest income,27,60-70%,0.0712
2002,Equivalized Personal Income,Household dividend income,28,60-70%,0.0538
2002,Equivalized Personal Income,Household current transfer receipts,29,60-70%,0.0881
2002,Equivalized Personal Income,Government social benefits,30,60-70%,0.0875
2002,Equivalized Personal Income,Household current transfer receipts from business (net),31,60-70%,0.094
2002,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,60-70%,0.1
2002,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,60-70%,0.1155
2002,Equivalized Personal Income,Household income,22,60-70%,0.094
2002,Equivalized Personal Income,Personal income,1,60-70%,0.094
2002,Equivalized Personal Income,Taxes,12,60-70%,0.0679
2002,Equivalized Personal Income,Disposable personal income,13,60-70%,0.0974
2002,Equivalized Personal Income,Compensation of employees,23,70-80%,0.1399
2002,Equivalized Personal Income,Proprietors' income with inventory valuation,24,70-80%,0.0628
2002,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,70-80%,0.1094
2002,Equivalized Personal Income,Household income receipts on assets,26,70-80%,0.0911
2002,Equivalized Personal Income,Household interest income,27,70-80%,0.0962
2002,Equivalized Personal Income,Household dividend income,28,70-80%,0.0783
2002,Equivalized Personal Income,Household current transfer receipts,29,70-80%,0.0796
2002,Equivalized Personal Income,Government social benefits,30,70-80%,0.0781
2002,Equivalized Personal Income,Household current transfer receipts from business (net),31,70-80%,0.1155
2002,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,70-80%,0.0993
2002,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,70-80%,0.1464
2002,Equivalized Personal Income,Household income,22,70-80%,0.1154
2002,Equivalized Personal Income,Personal income,1,70-80%,0.1155
2002,Equivalized Personal Income,Taxes,12,70-80%,0.1017
2002,Equivalized Personal Income,Disposable personal income,13,70-80%,0.1173
2002,Equivalized Personal Income,Compensation of employees,23,80-90%,0.1778
2002,Equivalized Personal Income,Proprietors' income with inventory valuation,24,80-90%,0.1045
2002,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,80-90%,0.1428
2002,Equivalized Personal Income,Household income receipts on assets,26,80-90%,0.1415
2002,Equivalized Personal Income,Household interest income,27,80-90%,0.1472
2002,Equivalized Personal Income,Household dividend income,28,80-90%,0.1271
2002,Equivalized Personal Income,Household current transfer receipts,29,80-90%,0.0739
2002,Equivalized Personal Income,Government social benefits,30,80-90%,0.07
2002,Equivalized Personal Income,Household current transfer receipts from business (net),31,80-90%,0.1494
2002,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,80-90%,0.1301
2002,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,80-90%,0.1851
2002,Equivalized Personal Income,Household income,22,80-90%,0.1491
2002,Equivalized Personal Income,Personal income,1,80-90%,0.1492
2002,Equivalized Personal Income,Taxes,12,80-90%,0.1588
2002,Equivalized Personal Income,Disposable personal income,13,80-90%,0.148
2002,Equivalized Personal Income,Compensation of employees,23,90-100%,0.2991
2002,Equivalized Personal Income,Proprietors' income with inventory valuation,24,90-100%,0.7484
2002,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,90-100%,0.3177
2002,Equivalized Personal Income,Household income receipts on assets,26,90-100%,0.5506
2002,Equivalized Personal Income,Household interest income,27,90-100%,0.5128
2002,Equivalized Personal Income,Household dividend income,28,90-100%,0.6449
2002,Equivalized Personal Income,Household current transfer receipts,29,90-100%,0.0729
2002,Equivalized Personal Income,Government social benefits,30,90-100%,0.0643
2002,Equivalized Personal Income,Household current transfer receipts from business (net),31,90-100%,0.3507
2002,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,90-100%,0.1505
2002,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,90-100%,0.2778
2002,Equivalized Personal Income,Household income,22,90-100%,0.3492
2002,Equivalized Personal Income,Personal income,1,90-100%,0.3504
2002,Equivalized Personal Income,Taxes,12,90-100%,0.5663
2002,Equivalized Personal Income,Disposable personal income,13,90-100%,0.3223
2002,Equivalized Disposable Personal Income,Compensation of employees,23,0-10%,0.0106
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,0-10%,-0.0081
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,0-10%,0.0225
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,0-10%,0.0087
2002,Equivalized Disposable Personal Income,Household interest income,27,0-10%,0.0106
2002,Equivalized Disposable Personal Income,Household dividend income,28,0-10%,0.0038
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,0-10%,0.0743
2002,Equivalized Disposable Personal Income,Government social benefits,30,0-10%,0.0707
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,0-10%,0.0175
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,0-10%,0.1816
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,0-10%,0.0104
2002,Equivalized Disposable Personal Income,Household income,22,0-10%,0.018
2002,Equivalized Disposable Personal Income,Personal income,1,0-10%,0.017
2002,Equivalized Disposable Personal Income,Taxes,12,0-10%,0.0016
2002,Equivalized Disposable Personal Income,Disposable personal income,13,0-10%,0.019
2002,Equivalized Disposable Personal Income,Compensation of employees,23,10-20%,0.0255
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,10-20%,0.0018
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,10-20%,0.0421
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,10-20%,0.0112
2002,Equivalized Disposable Personal Income,Household interest income,27,10-20%,0.0135
2002,Equivalized Disposable Personal Income,Household dividend income,28,10-20%,0.0052
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,10-20%,0.1153
2002,Equivalized Disposable Personal Income,Government social benefits,30,10-20%,0.1179
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,10-20%,0.0339
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,10-20%,0.0899
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,10-20%,0.0262
2002,Equivalized Disposable Personal Income,Household income,22,10-20%,0.0343
2002,Equivalized Disposable Personal Income,Personal income,1,10-20%,0.034
2002,Equivalized Disposable Personal Income,Taxes,12,10-20%,0.0057
2002,Equivalized Disposable Personal Income,Disposable personal income,13,10-20%,0.0377
2002,Equivalized Disposable Personal Income,Compensation of employees,23,20-30%,0.0363
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,20-30%,0.0038
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,20-30%,0.0533
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,20-30%,0.0155
2002,Equivalized Disposable Personal Income,Household interest income,27,20-30%,0.0185
2002,Equivalized Disposable Personal Income,Household dividend income,28,20-30%,0.0081
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,20-30%,0.1259
2002,Equivalized Disposable Personal Income,Government social benefits,30,20-30%,0.131
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,20-30%,0.0429
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,20-30%,0.0442
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,20-30%,0.0366
2002,Equivalized Disposable Personal Income,Household income,22,20-30%,0.0433
2002,Equivalized Disposable Personal Income,Personal income,1,20-30%,0.0433
2002,Equivalized Disposable Personal Income,Taxes,12,20-30%,0.0105
2002,Equivalized Disposable Personal Income,Disposable personal income,13,20-30%,0.0475
2002,Equivalized Disposable Personal Income,Compensation of employees,23,30-40%,0.0496
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,30-40%,0.0077
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,30-40%,0.0611
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,30-40%,0.0242
2002,Equivalized Disposable Personal Income,Household interest income,27,30-40%,0.0281
2002,Equivalized Disposable Personal Income,Household dividend income,28,30-40%,0.0145
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,30-40%,0.1285
2002,Equivalized Disposable Personal Income,Government social benefits,30,30-40%,0.1324
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,30-40%,0.0531
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,30-40%,0.0731
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,30-40%,0.05
2002,Equivalized Disposable Personal Income,Household income,22,30-40%,0.0534
2002,Equivalized Disposable Personal Income,Personal income,1,30-40%,0.0533
2002,Equivalized Disposable Personal Income,Taxes,12,30-40%,0.0179
2002,Equivalized Disposable Personal Income,Disposable personal income,13,30-40%,0.0579
2002,Equivalized Disposable Personal Income,Compensation of employees,23,40-50%,0.0668
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,40-50%,0.0141
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,40-50%,0.0711
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,40-50%,0.038
2002,Equivalized Disposable Personal Income,Household interest income,27,40-50%,0.0436
2002,Equivalized Disposable Personal Income,Household dividend income,28,40-50%,0.0241
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,40-50%,0.1164
2002,Equivalized Disposable Personal Income,Government social benefits,30,40-50%,0.1196
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,40-50%,0.0644
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,40-50%,0.0652
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,40-50%,0.0677
2002,Equivalized Disposable Personal Income,Household income,22,40-50%,0.0646
2002,Equivalized Disposable Personal Income,Personal income,1,40-50%,0.0646
2002,Equivalized Disposable Personal Income,Taxes,12,40-50%,0.0294
2002,Equivalized Disposable Personal Income,Disposable personal income,13,40-50%,0.0692
2002,Equivalized Disposable Personal Income,Compensation of employees,23,50-60%,0.0882
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,50-60%,0.0261
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,50-60%,0.0836
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,50-60%,0.0526
2002,Equivalized Disposable Personal Income,Household interest income,27,50-60%,0.0579
2002,Equivalized Disposable Personal Income,Household dividend income,28,50-60%,0.0394
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,50-60%,0.1031
2002,Equivalized Disposable Personal Income,Government social benefits,30,50-60%,0.1054
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,50-60%,0.0787
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,50-60%,0.0605
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,50-60%,0.0906
2002,Equivalized Disposable Personal Income,Household income,22,50-60%,0.0788
2002,Equivalized Disposable Personal Income,Personal income,1,50-60%,0.0789
2002,Equivalized Disposable Personal Income,Taxes,12,50-60%,0.0465
2002,Equivalized Disposable Personal Income,Disposable personal income,13,50-60%,0.0831
2002,Equivalized Disposable Personal Income,Compensation of employees,23,60-70%,0.1108
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,60-70%,0.0362
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,60-70%,0.0973
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,60-70%,0.0661
2002,Equivalized Disposable Personal Income,Household interest income,27,60-70%,0.0714
2002,Equivalized Disposable Personal Income,Household dividend income,28,60-70%,0.0527
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,60-70%,0.0934
2002,Equivalized Disposable Personal Income,Government social benefits,30,60-70%,0.0931
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,60-70%,0.0939
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,60-70%,0.0987
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,60-70%,0.114
2002,Equivalized Disposable Personal Income,Household income,22,60-70%,0.0939
2002,Equivalized Disposable Personal Income,Personal income,1,60-70%,0.0939
2002,Equivalized Disposable Personal Income,Taxes,12,60-70%,0.068
2002,Equivalized Disposable Personal Income,Disposable personal income,13,60-70%,0.0973
2002,Equivalized Disposable Personal Income,Compensation of employees,23,70-80%,0.1385
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,70-80%,0.0618
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,70-80%,0.112
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,70-80%,0.0916
2002,Equivalized Disposable Personal Income,Household interest income,27,70-80%,0.0969
2002,Equivalized Disposable Personal Income,Household dividend income,28,70-80%,0.0782
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,70-80%,0.0843
2002,Equivalized Disposable Personal Income,Government social benefits,30,70-80%,0.0831
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,70-80%,0.1154
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,70-80%,0.0966
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,70-80%,0.1449
2002,Equivalized Disposable Personal Income,Household income,22,70-80%,0.1153
2002,Equivalized Disposable Personal Income,Personal income,1,70-80%,0.1154
2002,Equivalized Disposable Personal Income,Taxes,12,70-80%,0.1023
2002,Equivalized Disposable Personal Income,Disposable personal income,13,70-80%,0.1171
2002,Equivalized Disposable Personal Income,Compensation of employees,23,80-90%,0.1778
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,80-90%,0.1024
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,80-90%,0.141
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,80-90%,0.1395
2002,Equivalized Disposable Personal Income,Household interest income,27,80-90%,0.1453
2002,Equivalized Disposable Personal Income,Household dividend income,28,80-90%,0.1251
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,80-90%,0.078
2002,Equivalized Disposable Personal Income,Government social benefits,30,80-90%,0.0744
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,80-90%,0.1495
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,80-90%,0.1291
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,80-90%,0.184
2002,Equivalized Disposable Personal Income,Household income,22,80-90%,0.1492
2002,Equivalized Disposable Personal Income,Personal income,1,80-90%,0.1493
2002,Equivalized Disposable Personal Income,Taxes,12,80-90%,0.158
2002,Equivalized Disposable Personal Income,Disposable personal income,13,80-90%,0.1482
2002,Equivalized Disposable Personal Income,Compensation of employees,23,90-100%,0.2958
2002,Equivalized Disposable Personal Income,Proprietors' income with inventory valuation,24,90-100%,0.7542
2002,Equivalized Disposable Personal Income,Rental income of households with capital consumption adjustment,25,90-100%,0.3161
2002,Equivalized Disposable Personal Income,Household income receipts on assets,26,90-100%,0.5527
2002,Equivalized Disposable Personal Income,Household interest income,27,90-100%,0.5141
2002,Equivalized Disposable Personal Income,Household dividend income,28,90-100%,0.649
2002,Equivalized Disposable Personal Income,Household current transfer receipts,29,90-100%,0.0809
2002,Equivalized Disposable Personal Income,Government social benefits,30,90-100%,0.0723
2002,Equivalized Disposable Personal Income,Household current transfer receipts from business (net),31,90-100%,0.3506
2002,Equivalized Disposable Personal Income,Household current transfer receipts from nonprofit institutions,32,90-100%,0.1609
2002,Equivalized Disposable Personal Income,"Contributions for government social insurance, domestic",33,90-100%,0.2757
2002,Equivalized Disposable Personal Income,Household income,22,90-100%,0.3491
2002,Equivalized Disposable Personal Income,Personal income,1,90-100%,0.3503
2002,Equivalized Disposable Personal Income,Taxes,12,90-100%,0.5601
2002,Equivalized Disposable Personal Income,Disposable personal income,13,90-100%,0.323
2002,Equivalized Household Income,Household Income,22,Mean (Nominal),82139.55
2002,Equivalized Household Income,Household Income,22,Mean ($2017),107666.1
2002,Equivalized Household Income,Household Income,22,Median (Nominal),57080.51
2002,Equivalized Household Income,Household Income,22,Median ($2017),74819.45
2002,Equivalized Household Income,Household Income,22,0-20%,0.0513
2002,Equivalized Household Income,Household Income,22,20-40%,0.0964
2002,Equivalized Household Income,Household Income,22,40-60%,0.1439
2002,Equivalized Household Income,Household Income,22,60-80%,0.2094
2002,Equivalized Household Income,Household Income,22,80-100%,0.499
2002,Equivalized Household Income,Household Income,22,Top 1%,0.1221
2002,Equivalized Household Income,Household Income,22,Top 5%,0.2497
2002,Equivalized Household Income,Household Income,22,Bottom 5%,0.0052
2002,Equivalized Household Income,Household Income,22,Equivalied 90/10 Ratio,5.87
2002,Equivalized Household Income,Household Income,22,Equivalied 80/20 Ratio,3.18
2002,Equivalized Household Income,Household Income,22,Equivalied Gini,0.441
2002,Equivalized Personal Income,Personal income,1,Mean (Nominal),82227.07
2002,Equivalized Personal Income,Personal income,1,Mean ($2017),107780.83
2002,Equivalized Personal Income,Personal income,1,Median (Nominal),57114.4
2002,Equivalized Personal Income,Personal income,1,Median ($2017),74863.88
2002,Equivalized Personal Income,Personal income,1,0-20%,0.0509
2002,Equivalized Personal Income,Personal income,1,20-40%,0.0963
2002,Equivalized Personal Income,Personal income,1,40-60%,0.1437
2002,Equivalized Personal Income,Personal income,1,60-80%,0.2095
2002,Equivalized Personal Income,Personal income,1,80-100%,0.4996
2002,Equivalized Personal Income,Personal income,1,Top 1%,0.1225
2002,Equivalized Personal Income,Personal income,1,Top 5%,0.2503
2002,Equivalized Personal Income,Personal income,1,Bottom 5%,0.005
2002,Equivalized Personal Income,Personal income,1,Equivalied 90/10 Ratio,5.91
2002,Equivalized Personal Income,Personal income,1,Equivalied 80/20 Ratio,3.19
2002,Equivalized Personal Income,Personal income,1,Equivalied Gini,0.442
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Mean (Nominal),72771.65
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Mean ($2017),95386.94
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Median (Nominal),53641.85
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Median ($2017),70312.16
2002,Equivalized Disposable Personal Income,Disposable personal income,13,0-20%,0.0567
2002,Equivalized Disposable Personal Income,Disposable personal income,13,20-40%,0.1054
2002,Equivalized Disposable Personal Income,Disposable personal income,13,40-60%,0.1523
2002,Equivalized Disposable Personal Income,Disposable personal income,13,60-80%,0.2144
2002,Equivalized Disposable Personal Income,Disposable personal income,13,80-100%,0.4712
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Top 1%,0.1075
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Top 5%,0.226
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Bottom 5%,0.0056
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Equivalied 90/10 Ratio,5.2
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Equivalied 80/20 Ratio,2.9
2002,Equivalized Disposable Personal Income,Disposable personal income,13,Equivalied Gini,0.408
2003,None,Compensation of employees,23,Total ($Billions),6354
2003,None,Proprietors' income with inventory valuation,24,Total ($Billions),898
2003,None,Rental income of households with capital consumption adjustment,25,Total ($Billions),223
2003,None,Household income receipts on assets,26,Total ($Billions),1402
2003,None,Household interest income,27,Total ($Billions),984
2003,None,Household dividend income,28,Total ($Billions),418
2003,None,Household current transfer receipts,29,Total ($Billions),1378
2003,None,Government social benefits,30,Total ($Billions),1304
2003,None,Household current transfer receipts from business (net),31,Total ($Billions),16
2003,None,Household current transfer receipts from nonprofit institutions,32,Total ($Billions),57
2003,None,"Contributions for government social insurance, domestic",33,Total ($Billions),779
2003,None,Household income,22,Total ($Billions),9475
2003,None,Personal income,1,Total ($Billions),9482
2003,None,Taxes,12,Total ($Billions),1004
2003,None,Disposable personal income,13,Total ($Billions),8478
2003,None,Compensation of employees,23,Total ($Billions),6354
2003,None,Proprietors' income with inventory valuation,24,Total ($Billions),898
2003,None,Rental income of households with capital consumption adjustment,25,Total ($Billions),223
2003,None,Household income receipts on assets,26,Total ($Billions),1402
2003,None,Household interest income,27,Total ($Billions),984
2003,None,Household dividend income,28,Total ($Billions),418
2003,None,Household current transfer receipts,29,Total ($Billions),1378
2003,None,Government social benefits,30,Total ($Billions),1304
2003,None,Household current transfer receipts from business (net),31,Total ($Billions),16
2003,None,Household current transfer receipts from nonprofit institutions,32,Total ($Billions),57
2003,None,"Contributions for government social insurance, domestic",33,Total ($Billions),779
2003,None,Household income,22,Total ($Billions),9475
2003,None,Personal income,1,Total ($Billions),9482
2003,None,Taxes,12,Total ($Billions),1004
2003,None,Disposable personal income,13,Total ($Billions),8478
2003,None,Unweighted Observations,N/A,Total,77090
2003,None,Weighted Observations,N/A,Total,111999816
2003,Equivalized Personal Income,Compensation of employees,23,0-10%,0.0091
2003,Equivalized Personal Income,Proprietors' income with inventory valuation,24,0-10%,-0.0051
2003,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,0-10%,0.0186
2003,Equivalized Personal Income,Household income receipts on assets,26,0-10%,0.0077
2003,Equivalized Personal Income,Household interest income,27,0-10%,0.0097
2003,Equivalized Personal Income,Household dividend income,28,0-10%,0.0032
2003,Equivalized Personal Income,Household current transfer receipts,29,0-10%,0.0768
2003,Equivalized Personal Income,Government social benefits,30,0-10%,0.0739
2003,Equivalized Personal Income,Household current transfer receipts from business (net),31,0-10%,0.0172
2003,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,0-10%,0.1591
2003,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,0-10%,0.0084
2003,Equivalized Personal Income,Household income,22,0-10%,0.0177
2003,Equivalized Personal Income,Personal income,1,0-10%,0.0168
2003,Equivalized Personal Income,Taxes,12,0-10%,0.0017
2003,Equivalized Personal Income,Disposable personal income,13,0-10%,0.0186
2003,Equivalized Personal Income,Compensation of employees,23,10-20%,0.0224
2003,Equivalized Personal Income,Proprietors' income with inventory valuation,24,10-20%,0.0016
2003,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,10-20%,0.0389
2003,Equivalized Personal Income,Household income receipts on assets,26,10-20%,0.0113
2003,Equivalized Personal Income,Household interest income,27,10-20%,0.0136
2003,Equivalized Personal Income,Household dividend income,28,10-20%,0.006
2003,Equivalized Personal Income,Household current transfer receipts,29,10-20%,0.1229
2003,Equivalized Personal Income,Government social benefits,30,10-20%,0.1263
2003,Equivalized Personal Income,Household current transfer receipts from business (net),31,10-20%,0.0334
2003,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,10-20%,0.0708
2003,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,10-20%,0.023
2003,Equivalized Personal Income,Household income,22,10-20%,0.0338
2003,Equivalized Personal Income,Personal income,1,10-20%,0.0335
2003,Equivalized Personal Income,Taxes,12,10-20%,0.005
2003,Equivalized Personal Income,Disposable personal income,13,10-20%,0.0369
2003,Equivalized Personal Income,Compensation of employees,23,20-30%,0.033
2003,Equivalized Personal Income,Proprietors' income with inventory valuation,24,20-30%,0.0044
2003,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,20-30%,0.0523
2003,Equivalized Personal Income,Household income receipts on assets,26,20-30%,0.0154
2003,Equivalized Personal Income,Household interest income,27,20-30%,0.0184
2003,Equivalized Personal Income,Household dividend income,28,20-30%,0.0085
2003,Equivalized Personal Income,Household current transfer receipts,29,20-30%,0.1337
2003,Equivalized Personal Income,Government social benefits,30,20-30%,0.1378
2003,Equivalized Personal Income,Household current transfer receipts from business (net),31,20-30%,0.0424
2003,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,20-30%,0.0658
2003,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,20-30%,0.0333
2003,Equivalized Personal Income,Household income,22,20-30%,0.0428
2003,Equivalized Personal Income,Personal income,1,20-30%,0.0426
2003,Equivalized Personal Income,Taxes,12,20-30%,0.0094
2003,Equivalized Personal Income,Disposable personal income,13,20-30%,0.0465
2003,Equivalized Personal Income,Compensation of employees,23,30-40%,0.0473
2003,Equivalized Personal Income,Proprietors' income with inventory valuation,24,30-40%,0.008
2003,Equivalized Personal Income,Rental income of households with capital consumption adjustment,25,30-40%,0.0618
2003,Equivalized Personal Income,Household income receipts on assets,26,30-40%,0.0254
2003,Equivalized Personal Income,Household interest income,27,30-40%,0.0298
2003,Equivalized Personal Income,Household dividend income,28,30-40%,0.0152
2003,Equivalized Personal Income,Household current transfer receipts,29,30-40%,0.1337
2003,Equivalized Personal Income,Government social benefits,30,30-40%,0.1378
2003,Equivalized Personal Income,Household current transfer receipts from business (net),31,30-40%,0.053
2003,Equivalized Personal Income,Household current transfer receipts from nonprofit institutions,32,30-40%,0.0647
2003,Equivalized Personal Income,"Contributions for government social insurance, domestic",33,30-40%,0.0476
